iter	Passed	Remaining
773	6270	1830
774	6277	1822
775	6286	1814
776	6294	1806
777	6305	1799
778	6310	1790
779	6318	1782
780	6328	1774
781	6335	1766
782	6341	1757
783	6349	1749
784	6359	1741
785	6367	1733
786	6373	1724
787	6383	1717
788	6390	1708
789	6397	1700
790	6404	1692
791	6414	1684
792	6421	1676
793	6432	1668
794	6439	1660
795	6447	1652
796	6454	1644
797	6461	1635
798	6470	1627
799	6479	1619
800	6486	1611
801	6493	1603
802	6500	1594
803	6508	1586
804	6517	1578
805	6523	1570
806	6531	1562
807	6537	1553
808	6545	1545
809	6554	1537
810	6562	1529
811	6570	1521
812	6580	1513
813	6585	1504
814	6592	1496
815	6600	1488
816	6608	1480
817	6617	1472
818	6625	1464
819	6631	1455
820	6639	1447
821	6649	1439
822	6658	1431
823	6665	1423
824	6675	1415
825	6683	1407
826	6691	1399
827	6698	1391
828	6706	1383
829	6712	1374
830	6724	1367
831	6732	1359
832	6739	1351
833	6748	1343
834	6758	1335
835	6766	1327
836	6775	1319
837	6783	1311
838	6790	1303
839	6801	1295
840	6808	1287
841	6814	1278
842	6826	1271
843	6832	1262
844	6842	1255
845	6850	1246
846	6856	1238
847	6863	1230
848	6872	1222
849	6880	1214
850	6888	1206
851	6894	1197
852	6903	1189
853	6912	1181
854	6922	1173
855	6930	1165
856	6938	1157
857	6946	1149
858	6954	1141
859	6961	1133
860	6971	1125
861	6980	1117
862	6986	1109
863	6993	1100
864	7001	1092
865	7011	1084
866	7019	1076
867	7028	1068
868	7035	1060
869	7042	1052
870	7050	1044
871	7058	1036
872	7066	1027
873	7074	1019
874	7082	1011
875	7091	1003
876	7098	995
877	7104	987
878	7113	979
879	7121	971
880	7135	963
881	7142	955
882	7152	947
883	7161	939
884	7169	931
885	7177	923
886	7184	915
887	7192	907
888	7201	899
889	7208	890
890	7215	882
891	7224	874
892	7231	866
893	7239	858
894	7247	850
895	7254	842
896	7262	833
897	7273	826
898	7279	817
899	7288	809
900	7297	801
901	7305	793
902	7313	785
903	7323	777
904	7331	769
905	7340	761
906	7347	753
907	7355	745
908	7364	737
909	7371	729
910	7379	720
911	7387	712
912	7395	704
913	7403	696
914	7410	688
915	7422	680
916	7429	672
917	7436	664
918	7443	656
919	7452	648
920	7460	639
921	7471	632
922	7478	623
923	7486	615
924	7495	607
925	7503	599
926	7511	591
927	7518	583
928	7527	575
929	7535	567
930	7541	558
931	7550	550
932	7558	542
